"filename", "language", "TypeScript JSX", "PostCSS", "TypeScript", "JSON", "HTML", "JavaScript", "JSON with Comments", "Go", "comment", "blank", "total"
"/home/g/git/slipway/internal/watcher/stable.go", "Go", 0, 0, 0, 0, 0, 0, 0, -125, -18, -13, -156
"/home/g/git/slipway/internal/watcher/stable_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, -107, 0, -12, -119
"/home/g/git/slipway/internal/watcher/watcher.go", "Go", 0, 0, 0, 0, 0, 0, 0, -887, -28, -57, -972
"/home/g/git/slipway/internal/watcher/watcher_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, -824, -2, -58, -884
"/home/g/git/slipway/internal/webui/api.go", "Go", 0, 0, 0, 0, 0, 0, 0, -588, 0, -49, -637
"/home/g/git/slipway/internal/webui/api_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, -312, 0, -24, -336
"/home/g/git/slipway/internal/webui/dist/assets/index-Ch0TT8xm.css", "PostCSS", 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -2
"/home/g/git/slipway/internal/webui/dist/assets/index-DG_S3TIe.js", "JavaScript", 0, 0, 0, 0, 0, -9, 0, 0, 0, -1, -10
"/home/g/git/slipway/internal/webui/dist/index.html", "HTML", 0, 0, 0, 0, -17, 0, 0, 0, 0, -1, -18
"/home/g/git/slipway/internal/webui/dist/theme-init.js", "JavaScript", 0, 0, 0, 0, 0, -24, 0, 0, -2, -5, -31
"/home/g/git/slipway/internal/webui/server.go", "Go", 0, 0, 0, 0, 0, 0, 0, -309, -13, -27, -349
"/home/g/git/slipway/internal/webui/server_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, -119, 0, -6, -125
"/home/g/git/slipway/internal/worker/worker.go", "Go", 0, 0, 0, 0, 0, 0, 0, -372, -20, -39, -431
"/home/g/git/slipway/internal/worker/worker_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, -525, 0, -44, -569
"/home/g/git/slipway/web/index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
"/home/g/git/slipway/web/package-lock.json", "JSON", 0, 0, 0, 1841, 0, 0, 0, 0, 0, 1, 1842
"/home/g/git/slipway/web/package.json", "JSON", 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"/home/g/git/slipway/web/public/theme-init.js", "JavaScript", 0, 0, 0, 0, 0, 24, 0, 0, 2, 5, 31
"/home/g/git/slipway/web/src/App.tsx", "TypeScript JSX", 977, 0, 0, 0, 0, 0, 0, 0, 0, 71, 1048
"/home/g/git/slipway/web/src/api.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 1, 6, 66
"/home/g/git/slipway/web/src/main.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/home/g/git/slipway/web/src/styles.css", "PostCSS", 0, 493, 0, 0, 0, 0, 0, 0, 0, 19, 512
"/home/g/git/slipway/web/src/theme.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 1, 9, 46
"/home/g/git/slipway/web/src/types.ts", "TypeScript", 0, 0, 104, 0, 0, 0, 0, 0, 0, 13, 117
"/home/g/git/slipway/web/tsconfig.app.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"/home/g/git/slipway/web/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"/home/g/git/slipway/web/tsconfig.node.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"/home/g/git/slipway/web/vite.config.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"Total", "-", 986, 492, 208, 1894, -1, -9, 7, -17138, -505, -1285, -15351
